model,model_key,method,is_track,enrich_Cancer_fold,enrich_Cancer_p,enrich_TSG_fold,enrich_TSG_p,enrich_Oncogene_fold,enrich_Oncogene_p,dir_corrective_TSG_fold,dir_corrective_TSG_p,dir_corrective_Oncogene_fold,dir_corrective_Oncogene_p,dir_cumulative_TSG_fold,dir_cumulative_TSG_p,dir_cumulative_Oncogene_fold,dir_cumulative_Oncogene_p,asymmetry_p,asymmetry_delta,pop_depletion_p,pop_depletion_ratio,cooc_rho_cond,cooc_p_cond,cooc_rho_cases,n_tests_pass,rank_enrich_Cancer_fold,rank_enrich_TSG_fold,rank_enrich_Oncogene_fold,rank_asymmetry_delta,rank_pop_depletion_ratio,rank_cooc_rho_cond,mean_rank
NT-50M,nt50_multi,epistasis (log_MR),False,1.5056179775247065,0.00041790721637405796,1.4757281553340749,0.010188093160911954,1.4624505928795952,0.012740225139155148,1.301707779843787,0.3695699184350932,1.5824682813676139,0.2427059842897822,1.3701803169254667,0.04572957489078718,1.4961727927179331,0.011902899835116684,0.2916004483258897,0.09370588269008512,0.0,150.04474380257085,0.21881945255662366,2.6824766863216616e-118,0.12224479271817662,5,4.0,5.0,6.0,7.0,6.0,2.0,5.0
NT-50M-3mer,nt50_3mer,epistasis (log_MR),False,1.5955056179739426,4.654419233614157e-05,1.5533980582463947,0.0036139252673962523,1.6996047430762862,0.0004347911401843681,1.4814814814266117,0.2815872191679558,1.36363636357438,0.3796264593543548,1.4750542299285248,0.01453357073932821,1.8614718614638033,5.565519130096434e-05,0.5825604504283654,0.08488555812401037,0.0,198.50665474651666,0.21261415301754266,1.2181715893806322e-111,0.11838890304254408,5,2.0,3.0,3.0,13.0,2.0,8.0,5.166666666666667
MutBERT,mutbert,epistasis (log_MR),False,1.6853932584231788,3.980714422714013e-06,1.7087378640710342,0.00033255793321386505,1.8577075098740803,2.7385036348277727e-05,1.628378378348916,0.09744775522268449,1.521464646441498,0.11728427875723907,1.7347165140956429,0.0009598768068379381,1.9809428917258487,4.7539771102476244e-05,0.6131828754772009,0.08990806279014057,0.0,147.43743447720732,0.19900598945193693,9.054502467125463e-98,0.12180431850810372,5,1.0,1.0,2.0,10.0,7.0,12.0,5.5
SpeciesLM,specieslm,epistasis (log_MR),False,1.303370786513925,0.021313451369580728,1.3203883495094355,0.05849406153813586,1.3833992094806982,0.031650018687194546,1.038961038934053,0.5462800343612609,0.7594936708668483,0.7711289296046324,1.2328767123231377,0.15107537136191473,1.498829039805626,0.014051850176066989,0.3944762330502711,0.11344467258178784,0.0,164.1629605410628,0.2173169286138293,1.147374455684346e-116,0.12263431855636163,4,10.0,10.0,8.0,2.0,5.0,3.0,6.333333333333333
NT-100M,nt100_multi,epistasis (log_MR),False,1.4606741573000883,0.0011312811810190494,1.2038834951409558,0.1620936686540984,1.6600790513768378,0.0008151462550042302,1.0393162392892348,0.5462988634581374,1.2471794871406008,0.4011833939104255,1.2362085594814516,0.14791179087095924,1.5425872828400244,0.007640623217381857,0.2864497816893311,0.09666504807653262,0.0,125.87143394428215,0.21460742943410963,9.33475089126396e-114,0.11446719102470519,4,5.0,14.0,4.0,5.0,9.0,6.0,7.166666666666667
ConvNova,convnova,epistasis (log_MR),False,1.2359550561769979,0.05741729046681511,1.2815533980532756,0.08449377759807027,1.3833992094806982,0.031650018687194546,1.3753918494982522,0.2678658883137813,1.3912009512162564,0.25923176831474826,1.3121928471438309,0.08428824194644391,1.4327642662726705,0.029324053567747366,0.45942235337258247,0.09051249904388828,0.0,692.4121247995829,0.21599596336493487,3.045121982128035e-115,0.14349377557507764,3,15.0,11.0,8.0,9.0,1.0,4.0,8.0
NT-500M,nt500_multi,epistasis (log_MR),False,1.5955056179739426,4.654419233614157e-05,1.6310679611587144,0.0011539582912469318,1.5810276679779407,0.002651067411582372,1.0042253520874642,0.5736095207840144,1.8258642765208766,0.08302649501068436,1.5194867682367887,0.010516394336619531,1.7274944928141232,0.0007719982350962941,0.44546570399866636,0.07747149607368836,0.0,99.43909995355834,0.20216210778996793,6.732540824184531e-101,0.11208798536531395,5,2.0,2.0,5.0,16.0,13.0,11.0,8.166666666666666
HyenaDNA,hyenadna,epistasis (log_MR),False,1.1925437871751092,0.09990963740096699,1.1665476870314435,0.2132231266399245,1.3456027667930937,0.04713079120534729,1.5057692307440382,0.14001209867873973,0.8579881656657505,0.703700958067637,0.911832691244693,0.6937525725833791,1.2859679842960068,0.11615806879371576,0.3270406063796154,0.08948170284801846,0.0,165.2548202656388,0.22047968974819435,4.751755361777496e-120,0.148105119262647,3,16.0,16.0,10.0,11.0,4.0,1.0,9.666666666666666
AlphaGenome,alphagenome,epistasis (log_MR),True,1.348314606738543,0.010063682406757486,1.3980582524217553,0.02579001550765265,1.4229249011801466,0.020360674932257523,1.7192189105611861,0.04352783014230867,1.8386091126791007,0.034416915224048,1.3353086419681766,0.0843443816373379,1.401036269422782,0.04676055600678915,0.27905536339120834,0.10706588374474237,0.0,41.22018994149298,0.1636044367218205,2.9036365394146815e-66,0.08325286226084921,5,9.0,8.0,7.0,3.0,17.0,16.0,10.0
Evo2,evo2,epistasis (log_MR),False,1.3707865168508522,0.006732905338704379,1.5145631067902348,0.006149150087526279,1.3438735177812495,0.04784224553793141,1.692335833157037,0.048657976841172,1.177998472096295,0.3837798640322324,1.3432322815628663,0.07985984886453286,1.0874975153988604,0.3765762526766835,0.11012696892935042,0.11883490534456037,0.0,34.36097403514842,0.15434158619855506,4.349094886369141e-59,0.0525343067538077,5,8.0,4.0,11.0,1.0,18.0,18.0,10.0
NT-500M-ref,nt500_ref,epistasis (log_MR),False,1.2584269662893068,0.04201459486547321,1.2038834951409558,0.1620936686540984,1.304347826081801,0.0703091475052539,0.94117647056609,0.6266940125777831,2.0289855071875653,0.05201114284079602,1.2558139534825312,0.13011262983193614,1.372997711664197,0.047573028784721215,0.14244226821371142,0.09302996981736125,0.0,126.76896892955125,0.21553632732624156,9.480466201285754e-115,0.10500231685807929,3,13.0,14.0,13.0,8.0,8.0,5.0,10.166666666666666
NT-250M,nt250_multi,epistasis (log_MR),False,1.4382022471877793,0.0018138358451340038,1.436893203877915,0.016431602154250078,1.304347826081801,0.0703091475052539,1.0384615384345786,0.5466211174034429,1.1911764705527628,0.43627392714300856,1.3735697940440543,0.04740322706285046,1.324752663616475,0.0731576714318555,0.502879198949751,0.07981768531461682,0.0,119.2816169398896,0.205423687043096,3.459469195631189e-104,0.11622287566422151,4,7.0,7.0,13.0,15.0,11.0,10.0,10.5
NT-2.5B-1kGP,nt2500_okgp,epistasis (log_MR),False,1.303370786513925,0.021313451369580728,1.2427184465971157,0.1186812651969833,1.3438735177812495,0.04784224553793141,1.145714285681469,0.4671142057272313,2.4198275861232457,0.021749470151181734,1.215614263157309,0.16863117036187267,1.207473989073703,0.17744781008017743,0.32642808767942966,0.07646844606610834,0.0,176.49190831810165,0.20859636940608642,1.926250123856859e-107,0.10924216920688487,4,10.0,13.0,11.0,17.0,3.0,9.0,10.5
Caduceus,caduceus,epistasis (log_MR),False,1.440052875079377,0.0017569163363225602,1.1665476870314435,0.2132231266399245,1.8600979423316295,2.6497444515416772e-05,1.6004742368729152,0.059941405582396266,2.3304175736884116,0.0005428246062339191,0.7957677165309099,0.8482217134229815,1.539067231971845,0.016384967631683022,0.5011008783463813,0.08276783612333179,0.0,91.09598952050642,0.18726534833810018,1.5071107140853197e-86,0.10665028305944665,4,6.0,16.0,1.0,14.0,14.0,14.0,10.833333333333334
RiNALMo,rinalmo,epistasis (log_MR),False,1.303370786513925,0.021313451369580728,1.4757281553340749,0.010188093160911954,1.2648221343823525,0.10043964294843831,1.4161220043238751,0.24588068694355286,1.2538580246651554,0.34388721104870557,1.3510221507797828,0.05995249502680929,1.465785176203132,0.02238977291341516,0.8575577317862886,0.060296083722993415,0.0,121.9364888031109,0.213346652254638,2.0453109619309288e-112,0.09782429477231369,4,10.0,5.0,15.0,18.0,10.0,7.0,10.833333333333334
Borzoi,borzoi,epistasis (log_MR),True,1.2443438913998996,0.05182412254286599,1.335952848717737,0.05118714629224862,1.225296442682904,0.1394195436445661,1.458064516102458,0.17960554241400656,1.734956575648937,0.07148858602902601,1.1548221515268797,0.26474900690973063,1.0465341561371497,0.44694497467282546,0.35304557841358997,0.09536522894367977,0.0,50.497032678764384,0.16335183025064692,1.3672785893647425e-65,0.1036026238097303,2,14.0,9.0,16.0,6.0,16.0,17.0,13.0
DNABERT,dnabert,epistasis (log_MR),False,0.9887640449415982,0.5559515269378299,0.8932038834916769,0.7446112641650606,1.225296442682904,0.13946082507078725,1.710201550361008,0.05336910866806154,1.3044552845315756,0.2679423428448147,0.7265139055448467,0.9217843119921281,1.359808570691493,0.06738465179412055,0.24922655891475032,0.10518082351586647,0.0,113.59916590641662,0.18106448888468943,5.50555768137896e-81,0.13859311977179062,2,18.0,18.0,16.0,4.0,12.0,15.0,13.833333333333334
NT-2.5B,nt2500_multi,epistasis (log_MR),False,1.1235955056154525,0.2090249568681632,1.2815533980532756,0.08449377759807027,1.1857707509834554,0.18821422174384328,2.0064516128629672,0.024065650167328135,2.006451612852903,0.04216528368807332,1.2066892848497843,0.1891492940612632,1.222551866998197,0.1665022029217917,0.3169947135903205,0.08528894161527564,0.0,65.769690708186,0.18880608577304042,5.087656730449429e-88,0.10687601611526637,2,17.0,11.0,18.0,12.0,15.0,13.0,14.333333333333334
